U,I
210,1.25
150,0.94
160,1.03
171,1.05
181,1.15
190,1.17
198,1.21
220,1.27
229,1.31
241,1.35
249,1.38
260,1.39
271,1.43
279,1.44
289,1.49
298,1.5
155,0.95
166,1.02
175,1.07
185,1.12
194,1.18
205,1.2
215,1.23
225,1.26
235,1.31
245,1.35
254,1.41
266,1.43
275,1.42
285,1.48
295,1.49
